id,title,summary,url,source,published,image_url
2026-09-03-irish-whiskey-magazine-deadline-for-public-consultation-on-irish-whiskey-technical-,Deadline for Public Consultation on Irish Whiskey Technical File,The deadline for public submissions on the amendments to the Irish Whiskey Product Specification is tomorrow 4th September. It’s your opportunity to make a real impact and help define the […] The post Deadline for Public Consultation on...,https://www.irishwhiskeymagazine.com/news/deadline-for-public-consultation-on-irish-whiskey-technical-file/,Irish Whiskey Magazine,2026-09-03,
2026-09-03-irish-whiskey-magazine-dunville-s-irish-whiskey-announces-south-africa-distribution,Dunville’s Irish Whiskey announces South Africa distribution launch,"Dunville’s Irish Whiskey partners with premium spirits import specialists, Firebrand Africa . Firebrand will represent the Dunville’s portfolio across South Africa, which is now a key growth market for Irish […] The post Dunville’s Irish...",https://www.irishwhiskeymagazine.com/news/dunvilles-irish-whiskey-announces-south-africa-distribution-launch/,Irish Whiskey Magazine,2026-09-03,
2026-09-02-irish-whiskey-magazine-irishamerican-whiskey-launches-dublin-airport-exclusive-p-x-,IrishAmerican Whiskey Launches Dublin Airport Exclusive P.X. Single Cask Special Edition,"IrishAmerican Whiskey Dublin Airport Exclusive Special Edition Achill Island Distillery has launched the IrishAmerican P.X. Single Cask Special Edition, created exclusively in collaboration with The Irish Whiskey Collection at […] The post...",https://www.irishwhiskeymagazine.com/news/new-releases/irishamerican-whiskey-dublin-airport-exclusive-p-x-single-cask/,Irish Whiskey Magazine,2026-09-02,
2026-08-11-irish-whiskey-magazine-the-ardara-releases-second-edition-of-ardara-single-malt-iri,The Ardara Releases Second Edition of Ardara Single Malt Irish Whiskey,"Ardara Second Edition of Ardara Single Malt Irish Whiskey The Ardara Distillery, home of Sliabh Liag Distillers, released the 2026 Edition of Ardara Single Malt Irish Whiskey on Saturday […] The post The Ardara Releases Second Edition of...",https://www.irishwhiskeymagazine.com/news/new-releases/the-ardara-releases-second-edition-of-ardara-single-malt-irish-whiskey/,Irish Whiskey Magazine,2026-08-11,
2026-07-30-irish-whiskey-magazine-great-northern-distillery-agrees-long-term-cooperation-agree,Great Northern Distillery Agrees Long-Term Cooperation Agreement with China’s Tsingtao Brewery,"GND agrees long-term agreement with Tsingtao Brewery Great Northern Distillery (“GND”), one of Ireland’s largest independent whiskey producers, has signed a long-term cooperation agreement with Tsingtao Brewery, one of […] The post Great...",https://www.irishwhiskeymagazine.com/news/latest-news/great-northern-distillery-agrees-long-term-cooperation-agreement-with-chinas-tsingtao-brewery/,Irish Whiskey Magazine,2026-07-30,
2026-09-09-the-whiskey-wash-bourbon-with-heart-raffles-elijah-craig-21-year-old-bourbon,Bourbon with Heart Raffles Elijah Craig 21-Year-Old Bourbon,Want to win a bottle of Elijah Craig 21-Year-Old and support Kentucky artists? Bourbon with Heart's charity raffle pairs rare bourbon with hand-painted barrel art. Read the full article at Bourbon with Heart Raffles Elijah Craig...,https://thewhiskeywash.com/whiskey-news/bourbon-with-heart-raffles-elijah-craig-21-year-old-bourbon/,The Whiskey Wash,2026-09-09,
2026-09-09-the-whiskey-wash-heaven-hill-releases-20th-parker-s-heritage-bourbon,Heaven Hill Releases 20th Parker’s Heritage Bourbon,What makes the 20th Parker's Heritage Bourbon so special? This 14-year-old barrel-proof release uses rye backset to honor Parker Beam—and gives back to ALS research. Read the full article at Heaven Hill Releases 20th Parker’s Heritage...,https://thewhiskeywash.com/whiskey-news/heaven-hill-releases-20th-parkers-heritage-bourbon/,The Whiskey Wash,2026-09-09,
2026-09-09-the-whiskey-wash-brown-forman-revives-kentucky-boy-bourbon-for-chris-morris,Brown-Forman Revives Kentucky Boy Bourbon for Chris Morris,What historic brand did Brown-Forman resurrect to honor Master Distiller Chris Morris' 50 years of service? Meet the revived Kentucky Boy Bourbon. Read the full article at Brown-Forman Revives Kentucky Boy Bourbon for Chris Morris,https://thewhiskeywash.com/whiskey-news/brown-forman-revives-kentucky-boy-bourbon-for-chris-morris/,The Whiskey Wash,2026-09-09,
2026-09-09-the-whiskey-wash-ardbeg-vintage-y2k-25-years-old-ends-millennium-series,Ardbeg Vintage_Y2K 25 Years Old Ends Millennium Series,What makes Ardbeg's oldest millennium whisky its most collectible yet? The Vintage_Y2K 25 Years Old finale unites retired-still spirit with rare Tempranillo casks. Read the full article at Ardbeg Vintage_Y2K 25 Years Old Ends Millennium...,https://thewhiskeywash.com/whiskey-news/ardbeg-vintage_y2k-25-years-old-ends-millennium-series/,The Whiskey Wash,2026-09-09,
2026-09-09-the-whiskey-wash-six-decades-of-pushing-boundaries-at-loch-lomond-whiskies,Six Decades of Pushing Boundaries at Loch Lomond Whiskies,What makes Loch Lomond the only distillery in the world crafting a peated single grain whisky? The answer lies in a piece of engineering found nowhere else in Scotch. Read the full article at Six Decades of Pushing Boundaries at Loch...,https://thewhiskeywash.com/whiskey-articles/six-decades-of-pushing-boundaries-at-loch-lomond-whiskies/,The Whiskey Wash,2026-09-09,
